timestamp,player,tournament,surface,betfair_odds,our_prob,implied_prob,edge,ev,base_units,odds_category,odds_cap,edge_override,final_units,stake_tier,is_value,notes
2026-01-20T14:27:51.824591,Valentina Ryser,ITF Leszno,Hard,2.66,60.4,37.6,22.8,60.7,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:51.845341,Nehanda Thomias,ITF Petit Bourg,Hard,34.0,69.8,2.9,66.9,2273.2,3,longshot,1,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:27:51.866378,Daphnee Mpetshi Perricard,ITF Petit Bourg,Hard,2.18,85.2,45.9,39.3,85.7,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:51.887428,Jan Choinski,Oeiras Challenger 2026,Grass,2.28,57.9,43.9,14.0,32.0,2,medium,3,False,2.0,confident,True,
2026-01-20T14:27:51.948813,Jaeda Daniel,ITF Petit Bourg,Hard,1.42,82.3,70.4,11.9,16.9,2,short,3,False,2.0,confident,True,
2026-01-20T14:27:51.970657,Juan Bautista Torres,Itajai Challenger 2026,Grass,1.49,72.7,67.1,5.6,8.3,1,short,3,False,1.0,standard,True,
2026-01-20T14:27:51.995515,Gabi Adrian Boitan,Itajai Challenger 2026,Grass,3.2,53.9,31.2,22.7,72.5,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:52.016818,Jasmijn Gimbrere,ITF Petit Bourg,Hard,2.58,61.5,38.8,22.7,58.7,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:52.038872,Nicolas Kicker,Itajai Challenger 2026,Grass,3.0,42.9,33.3,9.6,28.7,1,medium,3,False,1.0,standard,True,
2026-01-20T14:27:52.060310,Juan Manuel La Serna,Itajai Challenger 2026,Grass,1.76,76.8,56.8,20.0,35.2,3,short,3,False,3.0,strong,True,
2026-01-20T14:27:52.082408,Eduardo Ribeiro,Itajai Challenger 2026,Grass,2.74,49.6,36.5,13.1,35.9,2,medium,3,False,2.0,confident,True,
2026-01-20T14:27:52.107771,Pauline Payet,ITF Petit Bourg,Hard,1.88,86.7,53.2,33.5,63.0,3,short,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:52.150940,Yannick Hanfmann,Men's Australian Open 2026,Hard,42.0,12.9,2.4,10.5,441.8,2,longshot,1,False,1.0,confident,True,capped_from_2_to_1.0;longshot_warning
2026-01-20T14:27:52.171676,Corentin Moutet,Men's Australian Open 2026,Hard,1.76,81.7,56.8,24.9,43.8,3,short,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:52.216342,Tomas Martin Etcheverry,Men's Australian Open 2026,Hard,1.73,75.0,57.8,17.2,29.8,3,short,3,False,3.0,strong,True,
2026-01-20T14:27:52.237072,Cameron Norrie,Men's Australian Open 2026,Hard,1.43,73.9,69.9,4.0,5.7,0,short,3,False,0.0,no_bet,True,
2026-01-20T14:27:52.258086,Damir Dzumhur,Men's Australian Open 2026,Hard,4.8,26.7,20.8,5.9,28.2,1,long,2,False,1.0,standard,True,longshot_warning
2026-01-20T14:27:52.278790,Francisco Comesana,Men's Australian Open 2026,Hard,3.35,33.8,29.9,3.9,13.2,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:27:52.299607,Kamil Majchrzak,Men's Australian Open 2026,Hard,2.46,44.2,40.7,3.5,8.7,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:27:52.320757,Talia Gibson,Ladies Australian Open 2026,Hard,5.7,21.6,17.5,4.1,23.1,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:27:52.341404,Linda Klimovicova,Ladies Australian Open 2026,Hard,8.4,15.2,11.9,3.3,27.7,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:27:52.362487,Thiago Agustin Tirante,Men's Australian Open 2026,Hard,9.0,15.6,11.1,4.5,40.4,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:27:52.383653,Anna Bondar,Ladies Australian Open 2026,Hard,2.34,60.3,42.7,17.6,41.1,3,medium,3,False,3.0,strong,True,
2026-01-20T14:27:52.425143,Zhuoxuan Bai,Ladies Australian Open 2026,Hard,50.0,12.8,2.0,10.8,540.0,2,longshot,1,False,1.0,confident,True,capped_from_2_to_1.0;longshot_warning
2026-01-20T14:27:52.446318,Quentin Halys,Men's Australian Open 2026,Hard,7.6,20.1,13.2,6.9,52.8,1,longshot,1,False,1.0,standard,True,longshot_warning
2026-01-20T14:27:52.467385,Victoria Mboko,Ladies Australian Open 2026,Hard,1.4,78.3,71.4,6.9,9.6,1,short,3,False,1.0,standard,True,
2026-01-20T14:27:52.488444,Alejandro Davidovich Fokina,Men's Australian Open 2026,Hard,1.47,77.0,68.0,9.0,13.2,1,short,3,False,1.0,standard,True,
2026-01-20T14:27:52.509247,Hailey Baptiste,Ladies Australian Open 2026,Hard,1.67,82.7,59.9,22.8,38.1,3,short,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:52.531820,Elsa Jacquemot,Ladies Australian Open 2026,Hard,3.15,61.1,31.7,29.4,92.5,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:52.553710,Anastasia Potapova,Ladies Australian Open 2026,Hard,3.05,34.9,32.8,2.1,6.4,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:27:52.575556,Clara Tauson,Ladies Australian Open 2026,Hard,1.5,87.0,66.7,20.3,30.5,3,short,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:27:52.597322,Olga Danilovic,Ladies Australian Open 2026,Hard,10.0,13.8,10.0,3.8,38.0,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:27:52.618994,Nuno Borges,Men's Australian Open 2026,Hard,1.53,69.5,65.4,4.1,6.3,0,short,3,False,0.0,no_bet,True,
